address,tokens
bva18wgcs0k0glcmaxreweyeydu9mudtsftcxpkt4n,1116729
bva1ygrhjdjfyn2ffh5ha5llf5g6l3wxjt29hz9q4s,962981
bva1m3nj2sglp7mlz3y08qjlqyhycenz8m9cl4h4ht,952891
bva1s0ntnh523dc2u5ez3dcj2t34k2x7y60cue46rt,939963
bva1m02zrj77ahdz3597nscq7a6dhxnwsuutsljcvj,925155
bva1y52k5rfmqv46p8x8jsnppzgkjgzt5m0zgx5h37,923559
bva1a7n56r44h4tlgrk3mazxx6cavhgpkrm7a8p6g4,918075
bva142lu7y78yk23cdeujduy9g8gqxp7xl3wrz4ska,909296
bva18w9m90ksmcnsw6rd2kwpd74m4l5agkc68su3et,901358
bva139vgg7x68z3z7mjcyg6q02h3y0pvah678vr0y3,895789
bva1k98q69a0g56mg3he9l52wjuqy08gfw4h2np7j3,891864
bva1ah8tgrjj5zes0rt5y6gc6m3zr5zwayt6nzaghh,888819
bva16usf4rcvk9dyzpe8n82gq4nw9x5emlhhs2fftr,888787
bva1vr8d0kzvnkfgxl4980udka8psdj7434zxjezuq,886937
bva1c6aqe9ndzcn2nsan963z43xg6kgrvzynl97785,884887
bva1z0g0cg8dkgczr6r8t6khva3srn5mwj8w5tlu7h,881530
bva1fjtft76yv69d9e00ey9a5ud0aa23z6yu4m2jch,869065
bva1ra94sse7s6styug74ejjgwpqmzc8hdx0ttwe3g,855961
bva1lva9unyerjwcnayyd9kukyde96tvcfdgqk4930,854711
bva1t42gtf6hawqgpmdpjzmvlzvmlttlqtkvlmgjxt,849215
bva1vty3qqjcmg9tv3qtz2llv2m2sq3ftdxkk0ms3n,822473
bva1xnudjls7x4p48qrk0j247htt7rl2k2dzp3mr3j,515086
bva13a3gh23gzkwaw4ervstqrn3670mqcaysrma054,383391
bva1nz608q8dfkttckwh4hnvzddmpe4m6eh46ylfz5,320002
bva16kujlngdxq4pvyf87gpzx2x7ya4lgsz96j0aqt,252978
bva1ds4jdqh2mh6qczwur2nrx22l53kwt4eellrgyz,216864
bva13le7wtdw3kttw0cp30pprq049esmndvdsavysq,119385
bva1ghewcuxuunp4g0xj6yznnk6j2ccgxxhtf6h0r2,118948
bva1jh99vrdj0g3n2snrelzrh45s7cs7usqr3x40kk,115792
bva1yck3fkt2ltedev80skwjdmtfftv2lvpzfwmzfl,115732
bva1346977fnwf790657wxl0w3396ddsw7rygh9hgg,102554
bva1we4frydjkyejdzp506gzpljaqpqu5fs0flu60p,100255
bva16av8zgzpjwlt7m8khwdl69ge0hx865lzq7wu80,99732
bva1gzxs5s08ll6kqt6mh867ktrtc38asy90sc2cpw,93247
bva1sm4dclchvxq6yfmvduzc78rktaefwx4taeg6yh,90546
bva1nsm7askda5z8r3lfvu6l26acm0rycqh3w87lag,90271
bva1ftj5ln8jtcfsp4kwqeaa78zg8ald0wq8ghytvs,77013
bva1363hmhxgsqgrasm7wk7tvrs08kj6uu3qh2s8h9,77013
bva1k0y54ne3j6d6n67kzglpnmf7merr2jmqekptuy,72498
bva1lup0myq4xqu0ze0ng92w69jqwd2qqycxc76v2r,71762
bva1g7tau7znz8z2r7070eyhy5szhsn4znw8yuvgzr,35000
bva1tgkn6jc5cutkj7465pq9vlxutvdc0e9mgwvle4,34951
bva1nwyq37v4f02wu7zkc2rsynn8y7hh97ura39qyf,20173
bva1krd023w6ptjs388fgkw7futq4fmzkscrmr0hg5,20048
bva1jdv73wa8u9wya5zgwj3tgddeuwc432f8ex0j74,20015
bva1wlrgdtdu2fs2555ed3qdg3e74ayhdtmavy3pg2,20001
bva1suaqs5xg2g9f9zdldjupdtkc2u25uwxt6nqmnh,20001
bva1r57gcwpa7f0slcef7z8jl7m50e2vmc854wnf7l,20000
bva10qf0ywh8j4s7m96xtv0xg3x9hukdkrhp0ml4ft,20000
bva15e6qgul0zlfshqcj2ar9kqr2p2p7h59w9qpve2,2100
bva1asktsxqny35hwxltpzqsvr64s5vr2ph2t2vlnw,1106
bva1cvxdm0yuzxqaysk9waxgmqasdl6qypaxx9aagz,252
bva144swdx6yqp90km3gcs89td7hlm787246fsrp69,152
bva1rv0d5yehn48jnza2f490xa00t20scse9y4khvh,43
bva10zw09ec595mkkmfrmnvngp5wvzy4ea2fwpmn54,11
bva1mrpf5n5e5knn3z9qng5pnex3m9pvyhg6434j0t,10
bva1ufav4arlk0dyl5fs95zc6zahxncjyrvv60qnfw,7
