address,tokens
FF33E637849DF84209F802494C70B4B193E9C644,53330835
9962209CBF2BB908DC5CAF4B608AC75E7701BB6C,39327245
2CE83523458CC4B4ABD59A53F89744947573677E,29593917
3AAE040478D0B916EAE5B2EAE4B2C39D5F1EFCE6,24124817
B0F07A73B0402316F406EDFAF8863CCB140C88B4,20960192
83CF613C22BF58C438BF19C0B97BD2661891296D,18418902
C8E7FA98EAF061E786393C94AE29A5831EDE363E,17358766
789DD85951E7F65FB5D0A073C522E9AB063D3134,16904594
4C3EAD0A99B1B7F7AF9C45D41B0A7F7D7CE2D67B,16722620
D82FB64AC8E00DAB4E6AC6D9370023A2281B7256,16131703
40CACE4ECEBBCC24EB1192B93B2A912A0980FAE4,15833046
3F9F551064F148AF6615C892C8E9E76262A9ED61,15743663
D94070533C76A164E37C0FA62A845A427CD34E40,15309028
8F3695E65CBFB6D9084AFC0B637935E97CB3A381,14979021
48181C41E43158F0ADE8011C86CF715BE87BD7F4,14805999
8740C9E2428E2D8B5B2002552E0D2880EC6E1AB0,14692661
8C5872749B2182B1832D3EAE57EDFAC01104B240,14291563
5526E315D0C8F78B9DE7A6E60F7D518B91CE023C,14282961
9AA1BD7F54997CF32113104393DCEA7BC3BCE836,14235197
B788CDCCE6A0C47CAA3B9E795554E67D7290AFE8,14153962
B83975807B9428E001FEBC6449FD2267F0E50DFF,13558749
B286F6A0BD3CD35B1940860A4D912C32FC2D1863,13372386
C6282A161258D8232DCE0E81A7D8F021E7A8BC26,13350868
0B7EA0F411F506695D41F188343B3FB5F4CF789C,13214246
4338C4CDE85BFCF4F04E2ECBCBF7007DD93185FA,12713163
6A6D5C2FA9CE7DE300D89C703132681D69155131,12644884
9D9F4C875BD335C4DA679047DAF9BD2ACA09F7A9,12377579
27F2AF66185B2DDA1E1D84E31D1746992DF5373A,12237310
D6DD062792233D1799CB85CE3ECE1D925F7FCA93,12180981
7EC661F40BEFD355FEF828AF6462E574F4759D0B,12045503
080917AD1384CD7FC87B22ECACA1010CA397C363,10352155
D009EE36103976E15012FBCE18625EFC9048EFB5,10103341
030EACE62A0FDC87356F9E2BE2C8EB2D8376F272,9876708
97C2453953CB1472E9C3C629EE58115055EB2793,9843799
B3AC06F1CFAE7748FBAB70BE762855762A44227A,9645984
3197C8328BCF200D00AC28909BEB99BAE57F7263,9158631
257665698E33ADA42087491F898346FEBAE27E1F,8843046
518D2BF6CACD34AF9A797B442090168177FF4850,8693510
EE8637A0EF75B3359F35B9AE75DCAB6349288503,8517868
CA1086B803C8AC4E754CCF1842B8EAA8ADC17292,8390629
F9B4D9313C569F39DF1F3C664B55648F13F09D2A,7783701
A5ACE1813423D1AB76E9BD17264945B5A9F4EB06,7625025
1D52B9F513DDA9D9D7D2B4F9B28C502DA82AC9AA,7471552
81DA03EFE16079C6197C2949D3F82F835E19B90C,7225009
2E333AEB99DEE073AB9DCE544A2B63384FE3EB38,7016254
0BF3BFB0DBEE03B35DF993C8689C07CE8723C28F,6932187
D0318CE9996528B03B2B77D9811265921D252A8F,6657054
C3F0F48DA2EC5B3E263F18146114FD6DBB37755B,6578165
F197A9E66EE997CF5431360EF8E45A787CF166A6,6522850
F10BC4F92AA66ADFAF2D1CBD9D9A46E2AF123EB2,5913581
85F3D82818E7BA6C639CB094664326F5001CF3FA,5368250
4E19365526E85F2C07C19245D52773B31DEC28A9,5349174
A8CB49A70B9E6539BAB773F5F2CB33C6B90F04E1,5309934
BEB2BC950B3190F475C4CA3A45662F0867CAD5C6,5000297
779E0D0690544828BAE8756036154E1C4659605A,4661621
721ABED113FBE067ADEB535370366254C49C3336,4562281
44131EEBD2586953580F02D32BCA8BAA46F3DA61,4346502
05DF00639810F0FF4379A29744E684AA67A9FE06,4000142
6FEE4C6B4CF639B76357863F5B2DC35587BCBB60,3971334
C687D59DEB9A963364A8970C9F59A02E8ED637A6,3899106
20DA32578EC9F1BBDF8F0FF9A53543D74970EF93,3653586
045FC08FCDCC78E64BB04FA457305793F407E7E7,3581050
8CFBE51AFBE982D2F316CA1FDA09BD8AAFAE38C9,3024399
687058BB56F70B749309B7B0A93A5D653DE5D94B,2250472
EA1D7982E12F7BCE817D840E23736FFF0799315D,2143534
22CBF3A0B87D9C29BA415DA760BA085214E982A5,1963770
3BA11DF542DEB37269F6604917FE91D35078E974,1421308
540209C83B5C1309A67EE29214E712C626DA5D16,126765
3EB507B45A3E2311F30AD570D12688380BFCDA8F,100139
DE6E67386807F4C8C2DE0B079BBDF2165BA3C901,96075
24C6EA6A9E7EDBD36B0763D5CA792CCC0296F89A,54145
6421F7BA3E55CE4B15DF906276DC3F10F757D763,49570
B90C5F0758EDD6606EE5709E59DE8934C6FB6C21,47459
F6FEE2366243A31AB64B1DC9BE541DDB1D7C290D,44832
B0F2F7166E4C9D165F4E84DAD1B0E84DF03ABBCA,44185
