address,tokens
bva18wgcs0k0glcmaxreweyeydu9mudtsftcxpkt4n,1117690
bva1ygrhjdjfyn2ffh5ha5llf5g6l3wxjt29hz9q4s,989802
bva1c6aqe9ndzcn2nsan963z43xg6kgrvzynl97785,939953
bva1s0ntnh523dc2u5ez3dcj2t34k2x7y60cue46rt,939669
bva1a7n56r44h4tlgrk3mazxx6cavhgpkrm7a8p6g4,925287
bva1m02zrj77ahdz3597nscq7a6dhxnwsuutsljcvj,924368
bva1y52k5rfmqv46p8x8jsnppzgkjgzt5m0zgx5h37,923944
bva1m3nj2sglp7mlz3y08qjlqyhycenz8m9cl4h4ht,917686
bva139vgg7x68z3z7mjcyg6q02h3y0pvah678vr0y3,916448
bva1vr8d0kzvnkfgxl4980udka8psdj7434zxjezuq,912941
bva1ra94sse7s6styug74ejjgwpqmzc8hdx0ttwe3g,910704
bva1lva9unyerjwcnayyd9kukyde96tvcfdgqk4930,908915
bva142lu7y78yk23cdeujduy9g8gqxp7xl3wrz4ska,904493
bva18w9m90ksmcnsw6rd2kwpd74m4l5agkc68su3et,903798
bva1vty3qqjcmg9tv3qtz2llv2m2sq3ftdxkk0ms3n,900130
bva1k98q69a0g56mg3he9l52wjuqy08gfw4h2np7j3,891608
bva1ah8tgrjj5zes0rt5y6gc6m3zr5zwayt6nzaghh,889520
bva1fjtft76yv69d9e00ey9a5ud0aa23z6yu4m2jch,869244
bva16usf4rcvk9dyzpe8n82gq4nw9x5emlhhs2fftr,860599
bva1t42gtf6hawqgpmdpjzmvlzvmlttlqtkvlmgjxt,856894
bva1z0g0cg8dkgczr6r8t6khva3srn5mwj8w5tlu7h,819421
bva1xnudjls7x4p48qrk0j247htt7rl2k2dzp3mr3j,515618
bva13a3gh23gzkwaw4ervstqrn3670mqcaysrma054,364026
bva1nz608q8dfkttckwh4hnvzddmpe4m6eh46ylfz5,320002
bva1ds4jdqh2mh6qczwur2nrx22l53kwt4eellrgyz,316883
bva16kujlngdxq4pvyf87gpzx2x7ya4lgsz96j0aqt,253143
bva1ghewcuxuunp4g0xj6yznnk6j2ccgxxhtf6h0r2,182229
bva1jh99vrdj0g3n2snrelzrh45s7cs7usqr3x40kk,177483
bva16av8zgzpjwlt7m8khwdl69ge0hx865lzq7wu80,173167
bva1sm4dclchvxq6yfmvduzc78rktaefwx4taeg6yh,159512
bva1we4frydjkyejdzp506gzpljaqpqu5fs0flu60p,144029
bva1lup0myq4xqu0ze0ng92w69jqwd2qqycxc76v2r,131076
bva1gzxs5s08ll6kqt6mh867ktrtc38asy90sc2cpw,95420
bva1k0y54ne3j6d6n67kzglpnmf7merr2jmqekptuy,35001
bva1g7tau7znz8z2r7070eyhy5szhsn4znw8yuvgzr,35000
bva1363hmhxgsqgrasm7wk7tvrs08kj6uu3qh2s8h9,35000
bva1ftj5ln8jtcfsp4kwqeaa78zg8ald0wq8ghytvs,35000
bva1tgkn6jc5cutkj7465pq9vlxutvdc0e9mgwvle4,34951
bva1yck3fkt2ltedev80skwjdmtfftv2lvpzfwmzfl,21260
bva1nwyq37v4f02wu7zkc2rsynn8y7hh97ura39qyf,20175
bva1krd023w6ptjs388fgkw7futq4fmzkscrmr0hg5,20049
bva1jdv73wa8u9wya5zgwj3tgddeuwc432f8ex0j74,20018
bva1suaqs5xg2g9f9zdldjupdtkc2u25uwxt6nqmnh,20001
bva1wlrgdtdu2fs2555ed3qdg3e74ayhdtmavy3pg2,20001
bva1r57gcwpa7f0slcef7z8jl7m50e2vmc854wnf7l,20000
bva10qf0ywh8j4s7m96xtv0xg3x9hukdkrhp0ml4ft,20000
bva15e6qgul0zlfshqcj2ar9kqr2p2p7h59w9qpve2,2100
bva1mrpf5n5e5knn3z9qng5pnex3m9pvyhg6434j0t,2000
bva1asktsxqny35hwxltpzqsvr64s5vr2ph2t2vlnw,1208
bva1cvxdm0yuzxqaysk9waxgmqasdl6qypaxx9aagz,252
bva144swdx6yqp90km3gcs89td7hlm787246fsrp69,152
bva1rv0d5yehn48jnza2f490xa00t20scse9y4khvh,45
bva13le7wtdw3kttw0cp30pprq049esmndvdsavysq,38
bva10zw09ec595mkkmfrmnvngp5wvzy4ea2fwpmn54,11
bva1ufav4arlk0dyl5fs95zc6zahxncjyrvv60qnfw,7
